wandb_id,config,H_cycles,L_cycles,max_halt_steps,best exact_acc @ halt_or_nsup 64,best exact_acc @ halt_or_nsup 32,best exact_acc @ halt_or_nsup 16,train/exact_accuracy (last 1000 avg),exact_acc @ halt_or_nsup 16,exact_acc @ halt_or_nsup 32,exact_acc @ halt_or_nsup 64,train_exact_accuracy
cr_0413_baseline_220918,"# Baseline, no CR on depth, no CR on data
#
# Usage: bash pretrain_cr.sh cr_0413_baseline.yaml

name: cr_0413_baseline

depth:
  H_cycles: 1
  L_cycles: 2
  L_layers: 2

stages:
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 30000
    batch_size: 768
    eval_interval: 1000
",1,2,16,,,,0.814373,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/train_exact_accuracy.png
exp_0419_cr_baseline_004937,"# Baseline, no CR on depth, no CR on data
#
# Usage: bash pretrain_cr.sh exp_0419_cr_baseline.yaml

name: exp_0419_cr_baseline

depth:
  H_cycles: 2
  L_cycles: 4
  L_layers: 2

stages:
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 30000
    batch_size: 768
    eval_interval: 1000
",2,4,16,,,,0.573716,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0419_cr_baseline_004937_stage2/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0419_cr_baseline_004937_stage2/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0419_cr_baseline_004937_stage2/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0419_cr_baseline_004937_stage2/training_dynamics/train_exact_accuracy.png
exp_0413_cr_trace_mix_gaussian_210715,"# Curriculum learning config (gaussian variant).
#
# Same hard-gold-path mix as cp_0413_cr_trace_mix, but the intermediate
# board's empty-cell count is drawn per-sample from a Gaussian instead of
# being a fixed constant. This smooths the per-stage empty-cell distribution
# so the transition into the natural stage-3 distribution (~54-58 empties)
# is less abrupt.
#
# Build the curriculum datasets once before training:
#
#   python -m dataset.build_curriculum_dataset \
#     --source-dir data/sudoku-extreme-1k-aug-1000 \
#     --output-dir data/sudoku-extreme-1k-aug-1000-stage1-hard-gp-gaussian \
#     --empty-cells-mean 20 --empty-cells-std 5 --hard-only
#
#   python -m dataset.build_curriculum_dataset \
#     --source-dir data/sudoku-extreme-1k-aug-1000 \
#     --output-dir data/sudoku-extreme-1k-aug-1000-stage2-hard-gp-gaussian \
#     --empty-cells-mean 40 --empty-cells-std 5 --hard-only
#
# Stage 1. hard -> intermediate @ N(20, 5) empty cells; easy/medium unchanged
# Stage 2. hard -> intermediate @ N(40, 5) empty cells; easy/medium unchanged
# Stage 3. original dataset (no replacement)
#
# Usage: bash pretrain_cr.sh exp_0413_cr_trace_mix_gaussian.yaml

name: exp_0413_cr_trace_mix_gaussian

depth:
  H_cycles: 1
  L_cycles: 2
  L_layers: 2

stages:
  - data_path: data/sudoku-extreme-1k-aug-1000-stage1-hard-gp-gaussian
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000-stage2-hard-gp-gaussian
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 30000
    batch_size: 768
    eval_interval: 1000
",1,2,16,,,,0.536861,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0413_cr_trace_mix_gaussian_210715_stage2/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0413_cr_trace_mix_gaussian_210715_stage2/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0413_cr_trace_mix_gaussian_210715_stage2/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0413_cr_trace_mix_gaussian_210715_stage2/training_dynamics/train_exact_accuracy.png
exp_0420_cr_trace_mix_gaussian_dense_141633,"# Curriculum learning config (gaussian, dense variant).
#
# 20-stage progression with per-sample empty-cell count drawn from a Gaussian
# N(mean, 5). Stages match build_data.sh — means ramp from 31 to 70 over 20
# stages (2500 epochs each) for a dense, near-continuous curriculum. Build
# the curriculum datasets once before training by running:
#
#   bash build_data.sh
#
# Usage: bash pretrain_cr.sh exp_0420_cr_trace_mix_gaussian_dense.yaml

name: exp_0420_cr_trace_mix_gaussian_dense

depth:
  H_cycles: 1
  L_cycles: 2
  L_layers: 2

stages:
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-31-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-35-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-39-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-42-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-45-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-47-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-49-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-51-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-53-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-55-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-57-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-58-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-60-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-61-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-63-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-64-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-66-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-67-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-68-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000-hard-gp-gaussian-empty_cell-70-5
    nsup: 16
    num_epochs: 2500
    batch_size: 768
    eval_interval: 500
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 500
",1,2,16,,,,0.511622,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0420_cr_trace_mix_gaussian_dense_141633_stage20/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0420_cr_trace_mix_gaussian_dense_141633_stage20/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0420_cr_trace_mix_gaussian_dense_141633_stage20/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0420_cr_trace_mix_gaussian_dense_141633_stage20/training_dynamics/train_exact_accuracy.png
exp_0421_cr_trace_mix_gaussian_192914,"# Curriculum learning config (gaussian variant).
#
# Same hard-gold-path mix as cp_0420_cr_trace_mix, but the intermediate
# board's empty-cell count is drawn per-sample from a Gaussian instead of
# being a fixed constant. This smooths the per-stage empty-cell distribution
# so the transition into the natural stage-3 distribution (~54-58 empties)
# is less abrupt.
#
# Build the curriculum datasets once before training:
#
# python -m dataset.build_curriculum_dataset \
#   --source-dir data/sudoku-extreme-1k-aug-1000 \
#   --output-dir data/sudoku-extreme-1k-aug-1000-stage1-hard-gp-gaussian \
#   --empty-cells-mean 20 --empty-cells-std 5 --hard-only
#
#   python -m dataset.build_curriculum_dataset \
#     --source-dir data/sudoku-extreme-1k-aug-1000 \
#     --output-dir data/sudoku-extreme-1k-aug-1000-stage2-hard-gp-gaussian \
#     --empty-cells-mean 40 --empty-cells-std 5 --hard-only
#
# python -m dataset.build_curriculum_dataset \
#   --source-dir data/sudoku-extreme-1k-aug-1000 \
#   --output-dir data/sudoku-extreme-1k-aug-1000-stage3-hard-gp-gaussian \
#   --empty-cells-mean 45 --empty-cells-std 5 --hard-only
#
# python -m dataset.build_curriculum_dataset \
#   --source-dir data/sudoku-extreme-1k-aug-1000 \
#   --output-dir data/sudoku-extreme-1k-aug-1000-stage4-hard-gp-gaussian \
#   --empty-cells-mean 50 --empty-cells-std 5 --hard-only


#
# Stage 1. hard -> intermediate @ N(20, 5) empty cells; easy/medium unchanged
# Stage 2. hard -> intermediate @ N(40, 5) empty cells; easy/medium unchanged
# Stage 3. hard -> intermediate @ N(45, 5) empty cells; easy/medium unchanged
# Stage 4. hard -> intermediate @ N(50, 5) empty cells; easy/medium unchanged
# Stage 5. original dataset (no replacement)
#
# Usage: bash pretrain_cr.sh exp_0421_cr_trace_mix_gaussian.yaml

name: exp_0421_cr_trace_mix_gaussian

depth:
  H_cycles: 1
  L_cycles: 2
  L_layers: 2

stages:
  - data_path: data/sudoku-extreme-1k-aug-1000-stage1-hard-gp-gaussian
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000-stage2-hard-gp-gaussian
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000-stage3-hard-gp-gaussian
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000-stage4-hard-gp-gaussian
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
",1,2,16,,,,0.468834,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0421_cr_trace_mix_gaussian_192914_stage4/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0421_cr_trace_mix_gaussian_192914_stage4/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0421_cr_trace_mix_gaussian_192914_stage4/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0421_cr_trace_mix_gaussian_192914_stage4/training_dynamics/train_exact_accuracy.png
exp_0414_bt_004417,"# Curriculum learning config (BT)
#
# Stage 1. hard -> wrong son of branch guessing node g1; easy/medium unchanged
# Stage 2. hard -> wrong son of branch guessing node g2; easy/medium unchanged
# Stage 3. original dataset (no replacement)

# g1 = last branching guess on gold path (fewer empty cells, deeper)
# g2 = second-to-last branching guess on gold path (more empty cells, shallower)
# empty_cell (g1) < empty_cell (g2)
# empty_cell (wc_1) = empty_cell (g1) - 1
# empty_cell (wc_2) = empty_cell (g2) - 1
#
# Usage: bash pretrain_cr.sh exp_0414_bt.yaml

name: exp_0414_bt

depth:
  H_cycles: 1
  L_cycles: 2
  L_layers: 2

stages:
  - data_path: data/sudoku-extreme-1k-aug-1000-bt-stage1-hard
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000-bt-stage2-hard
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 30000
    batch_size: 768
    eval_interval: 1000
",1,2,16,,,,0.575606,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0414_bt_004417_stage2/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0414_bt_004417_stage2/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0414_bt_004417_stage2/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0414_bt_004417_stage2/training_dynamics/train_exact_accuracy.png
exp_0414_bt_descendents_015622,"# Curriculum learning config (BT by wrong-subtree depth, hard-only replacement)
#
# Stage 1. hard -> wrong child  of g1 (last branching guess on gold path)
#                  bt-depth=1   (one wrong step)
#          easy/medium unchanged
# Stage 2. hard -> wrong grandchild of g2 (second-last branching guess)
#                  bt-depth=2   (wrong step + one more walk step)
#          easy/medium unchanged
# Stage 3. original dataset (no replacement)
#
# g1 = last branching guess (deeper, fewer empty cells)
# g2 = second-to-last branching guess (shallower, more empty cells)
# Extra walk steps inside the wrong subtree reuse find_one_propagation and
# MRV guess-cell selection (see utils/sudoku_with_wrong_child.py ::
# get_wrong_descendants).
#
# Usage: bash pretrain_cr.sh exp_0414_bt_descendents.yaml

name: exp_0414_bt_descendents

depth:
  H_cycles: 1
  L_cycles: 2
  L_layers: 2

stages:
  - data_path: data/sudoku-extreme-1k-aug-1000-bt-s1-d1-hard
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000-bt-s2-d2-hard
    nsup: 16
    num_epochs: 10000
    batch_size: 768
    eval_interval: 1000
  - data_path: data/sudoku-extreme-1k-aug-1000
    nsup: 16
    num_epochs: 30000
    batch_size: 768
    eval_interval: 1000
",1,2,16,,,,0.734369,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0414_bt_descendents_015622_stage2/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0414_bt_descendents_015622_stage2/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0414_bt_descendents_015622_stage2/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/exp_0414_bt_descendents_015622_stage2/training_dynamics/train_exact_accuracy.png
cr_0429_derive_ignore_hybrid_224622,,1,2,16,0.093499,0.075215,0.030640,0.580174,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_hybrid_224622_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_hybrid_224622_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_hybrid_224622_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_hybrid_224622_stage0/training_dynamics/train_exact_accuracy.png
cr_0429_derive_ignore_194437,,1,2,16,0.704030,0.668026,0.608554,0.868711,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/train_exact_accuracy.png
cr_0429_derive_ignore_v2_154835,,1,2,16,0.715665,0.678776,0.616707,0.885604,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_v2_154835_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_v2_154835_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_v2_154835_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_v2_154835_stage0/training_dynamics/train_exact_accuracy.png
