run_name,wandb_id,trust,cap,loss_weight,peak_step,peak_all_n16,peak_easy_n16,peak_medium_n16,peak_hard_n16,peak_all_n32,peak_easy_n32,peak_medium_n32,peak_hard_n32,peak_all_n64,peak_easy_n64,peak_medium_n64,peak_hard_n64,final_step,final_all_n64,final_hard_n64,notes,delta_baseline_n64_peak,delta_baseline_hard_n64_peak,img_nsup16,img_nsup32,img_nsup64,cov_nsup16,cov_nsup32,cov_nsup64,train_lm_loss_url,train_exact_acc_url
baseline,cr_0413_baseline_220918,—,—,full GT,55986,0.5972,0.927,0.8287,0.442,0.6691,0.9323,0.8678,0.5395,0.7148,0.9335,0.8833,0.6057,65100,0.6959,0.5908,reference,0.0,0.0,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0413_baseline_220918_stage2/training_dynamics/train_exact_accuracy.png
"v2 (cap=∞, no filter)",cr_0429_derive_ignore_194437,pred==gt,∞,"(1, 1, 0)",49476,0.6165,0.9351,0.8473,0.4636,0.6811,0.9393,0.8829,0.5512,0.7193,0.9401,0.8972,0.606,65100,0.6278,0.5065,2-seed; seed1 not in this row,0.45,0.03,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_194437_stage0/training_dynamics/train_exact_accuracy.png
"c20 (cap=20, no filter)",cr_0429_derive_ignore_c20_smoke_115745,pred==gt,20,"(1, 1, 0)",65100,0.5929,0.9262,0.8194,0.4391,0.6525,0.9318,0.8589,0.5168,0.6861,0.9332,0.8761,0.563,65100,0.6861,0.563,,-2.87,-4.27,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c20_smoke_115745_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c20_smoke_115745_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c20_smoke_115745_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c20_smoke_115745_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c20_smoke_115745_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c20_smoke_115745_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c20_smoke_115745_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c20_smoke_115745_stage0/training_dynamics/train_exact_accuracy.png
"M3 (cap=10, no filter)",cr_0429_derive_ignore_m3_194001,pred==gt,10,"(1, 1, 0)",63798,0.5758,0.9406,0.8233,0.4076,0.6316,0.9448,0.8622,0.4799,0.664,0.9463,0.8768,0.5252,63798,0.664,0.5252,,-5.08,-8.05,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m3_194001_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m3_194001_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m3_194001_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m3_194001_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m3_194001_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m3_194001_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m3_194001_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m3_194001_stage0/training_dynamics/train_exact_accuracy.png
"c5 (cap=5, no filter)",cr_0429_derive_ignore_c5_162547,pred==gt,5,"(1, 1, 0)",65100,0.3382,0.8374,0.4825,0.1878,0.4005,0.8669,0.5619,0.2491,0.4404,0.8788,0.61,0.2907,65100,0.4404,0.2907,,-27.44,-31.5,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c5_162547_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c5_162547_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c5_162547_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c5_162547_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c5_162547_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c5_162547_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c5_162547_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_c5_162547_stage0/training_dynamics/train_exact_accuracy.png
M2 (clue only),cr_0429_derive_ignore_m2_204257,clue only,—,"(1, 1, 0)",65100,0.2303,0.8793,0.3335,0.0693,0.2489,0.8957,0.3621,0.0841,0.2582,0.901,0.3757,0.0924,65100,0.2582,0.0924,,-45.66,-51.33,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m2_204257_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m2_204257_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m2_204257_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m2_204257_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m2_204257_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m2_204257_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m2_204257_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_m2_204257_stage0/training_dynamics/train_exact_accuracy.png
inverse_mask cap=10,cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137,pred==gt,10,"(0.1, 0.1, 1.0)",62496,0.5379,0.9063,0.7974,0.3642,0.6071,0.9226,0.8556,0.4476,0.6517,0.9287,0.8854,0.5053,65100,0.6463,0.4989,inverted weights,-6.31,-10.04,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_inverse_mask_cap_10_smoke_131137_stage0/training_dynamics/train_exact_accuracy.png
conf=0.90 cap=10 seed=0,cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616,pred==gt ∧ conf>0.90,10,"(1, 1, 0)",63798,0.6403,0.9356,0.8639,0.4946,0.6996,0.937,0.8927,0.5771,0.7336,0.9373,0.9041,0.6265,65100,0.7307,0.6227,,1.88,2.08,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_130616_stage0/training_dynamics/train_exact_accuracy.png
conf=0.90 cap=10 seed=1,cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423,pred==gt ∧ conf>0.90,10,"(1, 1, 0)",65100,0.6331,0.9461,0.8544,0.4852,0.6909,0.9487,0.8866,0.5635,0.725,0.9494,0.9021,0.6114,65100,0.725,0.6114,,1.02,0.57,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_90_cap_10_smoke_seed1_155423_stage0/training_dynamics/train_exact_accuracy.png
conf=0.70 cap=10,cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803,pred==gt ∧ conf>0.70,10,"(1, 1, 0)",65100,0.6453,0.9289,0.8617,0.5047,0.698,0.9301,0.886,0.5785,0.7289,0.9304,0.8963,0.6234,65100,0.7289,0.6234,,1.41,1.77,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803_stage0/training_dynamics/exact_acc_at_halt_or_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803_stage0/training_dynamics/exact_acc_at_halt_or_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803_stage0/training_dynamics/exact_acc_at_halt_or_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803_stage0/training_dynamics/halt_coverage_nsup16.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803_stage0/training_dynamics/halt_coverage_nsup32.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803_stage0/training_dynamics/halt_coverage_nsup64.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803_stage0/training_dynamics/train_lm_loss.png,https://raw.githubusercontent.com/yoyostudy/trm-cr-experiment-photos/cr_0429_derive_ignore_confidence_70_cap_10_smoke_103803_stage0/training_dynamics/train_exact_accuracy.png
